"phone.ID","rating","color","typy","purchase.date","comment"
3323457,5,"亮黑色","iPhone 7","2016/11/7 22:53","非常好，是正品，包装也很完好，用了一段时间也没有出现什么问题，屏幕确实是有点发黄，不对比还好，和6一对比非常明显，还有就是亮黑色的真的很容易划伤啊，到手之后就撞上手机壳了，后面还是有很多细小的划痕。"
3323457,5,"亮黑色","iPhone 7","2016/11/11 2:57","正品！很好！京东不错！"
3323457,5,"亮黑色","iPhone 7","2016/11/8 20:18","快递很快，老婆看了很喜欢"
3323457,5,"亮黑色","iPhone 7","2016/11/16 22:19","总体都很好，喜欢！"
3323457,5,"亮黑色","iPhone 7","2016/10/31 22:49","正品，自营就是正，京东物流无敌，晚上11点下单，第二天一早就送达，佩服京东自营品质和物流。"
3323457,5,"亮黑色","iPhone 7","2016/11/2 1:40","好好好好好好好好好好哈，是买的最好的一次，用了一段时间，感觉非常好，系统特别流畅我，内存也大，下载东西特别快，下次还来！！！！！！！"
3323457,5,"亮黑色","iPhone 7","2016/11/8 10:22","好好好好好好好好好好好好好好"
3323457,5,"亮黑色","iPhone 7","2016/11/12 15:54","京东价比官网便宜 但是在其他平台看了下 价格还是差一点 物流还可以 苹果刚入手 测试中 再补评"
3323457,5,"亮黑色","iPhone 7","2016/11/10 11:03","京东东西很值得放心，比其他网站便宜，很值得信任。东西都很好哦！！用的东西都在这买的！"
3323457,5,"亮黑色","iPhone 7","2016/11/11 9:57","不错，满意"
3323457,5,"亮黑色","iPhone 7","2016/11/12 12:52","商品挺好，就是京东配送环节管理太粗糙，货没送配送员就改接收，客服都没审核环节。明明有联系方式都不联系我，我要不问，他都不送，问多了还拒接，差评！差评！"
3323457,5,"亮黑色","iPhone 7","2016/10/19 8:32","不错的商品，正品，送货速度快！"
3323457,5,"亮黑色","iPhone 7","2016/11/6 18:59","好评，好评，物流速度超快，态度超好"
3323457,5,"亮黑色","iPhone 7","2016/11/11 13:22","送货很快，点个赞！"
3323457,5,"亮黑色","iPhone 7","2016/11/11 7:35","自己打车取，这边京东快递服务差劲，东西还好"
